river,year,DOC_centroid,DOC-channel-mean_centroid,glofas-discharge-channel-mean_centroid,observed-discharge_centroid,snowmelt_centroid,SoilW-0-28cm-cm_centroid,SoilW-28-100cm-cm_centroid
Lena,2009,127.5238604,125.1625879,151.3755268,156.9302246,135.7824694,121.6163366,122.3229135
Lena,2010,129.6597893,125.2885521,151.6237045,154.9334489,132.9067872,121.6765578,122.2317538
Lena,2011,127.8002468,125.0687124,148.7114092,154.5630104,131.0686411,121.2190253,122.2940495
Lena,2012,129.8913498,126.7191532,152.0462001,153.8954254,135.1529396,122.8387951,123.6766269
Lena,2013,129.575372,125.8402686,150.2742997,153.452461,130.4249449,121.4708999,122.4144779
Lena,2014,127.1847451,125.3408972,145.9022021,152.1418293,130.4210579,121.6358738,122.5767782
Lena,2015,125.5935433,125.3208898,154.7541671,155.7691517,138.7085877,122.4707545,122.9393166
Lena,2016,129.7032797,126.9064559,156.7584015,158.0366247,141.0637869,123.1925805,123.8014198
Lena,2017,127.4352094,125.5839068,154.5998988,158.487654,139.716452,122.0736418,122.7249515
Lena,2018,129.0266311,125.8109446,152.1186684,155.4273715,135.4636867,121.4737931,122.4468284
Lena,2019,128.9050486,125.6518505,153.0430494,155.7993352,138.969396,121.791206,122.585526
Lena,2020,130.731077,127.1225426,150.5733199,156.5902295,135.5813908,122.9277788,123.7530213
Lena,2021,130.3264797,126.1551786,153.2667204,153.5810351,136.2993858,122.3714714,123.0928717
Lena,2022,129.2846923,126.074575,154.2363935,154.6284553,139.6387013,122.3261023,122.8979337
Lena,2023,127.6142854,125.6892864,153.7319091,158.2252152,143.2399279,122.1870064,122.7582051
Lena,2024,131.3125448,126.8827788,150.2995801,155.4674001,138.7129829,122.531004,123.5521914
Lena,2025,125.0237179,124.7799551,152.3084033,154.3169963,137.1868623,122.2310313,122.949993
Mackenzie,2000,124.6727372,123.8693312,138.3644918,142.9314128,133.994631,121.9822866,123.9593387
Mackenzie,2001,123.8421683,122.9401489,141.1980818,144.0823867,138.6572259,121.1956211,122.9254458
Mackenzie,2002,123.6652184,123.5701869,140.8023031,143.2185181,138.8236291,121.3450265,122.8153861
Mackenzie,2003,123.3818186,123.0292806,138.3090888,143.4682789,126.9114253,120.457984,122.8901965
Mackenzie,2004,124.5556861,124.0878839,137.19183,142.8281597,132.9644945,120.8626662,123.7845229
Mackenzie,2005,123.6597981,122.7883052,137.3548926,142.9167471,125.0889748,121.7427192,122.7546052
Mackenzie,2006,123.7337852,122.8787381,139.4998904,142.3392348,128.8817877,121.3413998,122.8162912
Mackenzie,2007,123.4164776,122.8761125,139.0387895,143.0377654,128.9749295,121.2912242,123.1193348
Mackenzie,2008,124.486331,124.0817816,140.8086731,143.8782287,130.4923013,122.7557857,123.8485439
Mackenzie,2009,123.5335332,123.36196,139.3529988,144.8455096,132.3476641,122.0772283,122.9989215
Mackenzie,2010,123.408175,122.3683995,132.441767,135.8292929,119.2439396,119.7675042,121.9999368
Mackenzie,2011,123.5945995,122.9778078,141.3341925,143.2803106,133.6587937,121.0634584,122.7940917
Mackenzie,2012,124.4006121,123.9310877,143.1150652,146.3327301,134.8370236,122.4247232,124.04263
Mackenzie,2013,123.5133666,123.2738492,141.4853344,144.779536,134.0936008,122.4466581,123.4187898
Mackenzie,2014,123.269364,123.0984688,138.7594716,141.5935113,129.4179038,121.3359405,122.9217982
Mackenzie,2015,123.329003,122.7154818,136.1965158,139.7831404,122.926944,119.4833783,121.925032
Mackenzie,2016,124.5264965,123.9191326,140.5261078,142.2668916,123.2004657,122.8409416,123.8628373
Mackenzie,2017,123.5308465,122.7767462,139.637733,141.9864386,128.5733967,120.7485731,122.4876734
Mackenzie,2018,123.6543032,123.0392664,140.2767306,140.6238118,128.1238246,122.2304781,123.0118718
Mackenzie,2019,122.7142383,122.2511469,133.1871112,137.5729122,120.147566,120.5346264,122.3436869
Mackenzie,2020,124.178949,124.3272558,142.2495338,147.5246498,135.6826954,123.4185202,124.1960476
Mackenzie,2021,123.3682469,123.185229,138.8164805,140.1908358,132.1660142,121.56763,122.8011796
Mackenzie,2022,123.7691659,123.0542509,141.6836785,144.8325556,134.2330126,121.7017677,123.0470123
Mackenzie,2023,123.4571827,122.8338772,137.5126738,139.2808237,123.1241441,121.498015,122.8742932
Mackenzie,2024,124.5599555,123.7176884,137.9026047,139.5258454,128.1143149,122.4856255,123.9874455
Mackenzie,2025,123.1774722,122.7650648,136.2993664,144.246283,128.5076731,121.0052893,122.7437507
Ob,2000,126.3114612,124.2698758,142.8661622,145.9265413,111.1533624,121.6913162,123.2044299
Ob,2001,125.6181898,123.1314618,142.204798,148.9841002,110.9457994,120.1130594,121.8446624
Ob,2002,125.3101429,123.1767468,143.7553256,145.3834909,116.4265234,120.0316718,121.4981373
Ob,2003,125.9186797,123.4641474,143.6796621,146.7484899,116.3690128,120.4877207,121.8791959
Ob,2004,125.991299,124.0939195,144.3156663,149.9970415,122.1699179,120.3647672,123.2729019
Ob,2005,126.3580822,122.9682037,140.7487544,145.9169728,113.3958347,119.511931,121.2735498
Ob,2006,125.495774,122.9148333,146.4341738,148.108641,120.6432084,119.754151,121.9845906
Ob,2007,124.9598862,123.645746,142.2332842,145.1859799,109.5685254,120.5231959,121.9249466
Ob,2008,126.3008949,124.065258,140.5076797,148.3492912,113.5175334,120.4814204,122.7050064
Ob,2009,125.2186685,122.7261678,139.3375027,146.7027757,111.2974682,119.6396075,121.4235382
Ob,2010,124.6608693,122.9847135,144.2415974,145.3503982,116.5555803,119.6761076,121.9551025
Ob,2011,125.9139678,122.9914469,135.9351675,142.3562243,106.8766127,119.613282,121.483846
Ob,2012,126.7120623,123.5189318,134.8131958,141.5341158,105.9919258,119.5618116,122.0067484
Ob,2013,126.3900899,123.1595161,143.0461215,145.6928169,112.2691136,120.3341231,122.7073146
Ob,2014,126.5371604,123.326591,138.0039534,144.7390858,111.311619,118.8540723,120.736498
Ob,2015,125.6200281,123.8792516,142.8525036,143.3852522,112.5540972,119.9580112,121.5675055
Ob,2016,127.7584666,124.4743595,139.9461059,142.4731931,108.2877554,119.2870874,121.5494536
Ob,2017,124.9387781,123.2698023,142.7292869,144.7419206,114.1336159,120.4003813,122.3981607
Ob,2018,125.6526605,123.1967569,145.6376189,146.7860355,123.227545,120.9349915,122.699687
Ob,2019,125.7937744,122.970172,140.5368407,144.7135312,112.0093004,119.7672382,121.4905433
