day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
79,7.310733333,2.933807692,6.036454545,3.1395,2.901769231,4.004846154
80,7.368411765,2.927423077,6.040416667,3.085545455,2.909769231,4.000923077
81,7.296411765,2.901538462,5.997083333,3.107318182,2.928692308,4.005076923
82,7.340625,2.881692308,5.977958333,3.015826087,2.925423077,4.000115385
83,7.3525,2.891653846,5.99896,3.05426087,2.952423077,4.002807692
84,7.307823529,2.880346154,5.97044,3.111521739,2.948576923,3.9935
85,7.278941176,2.870923077,5.934269231,3.139956522,2.946576923,3.988307692
86,7.301263158,2.840692308,5.910192308,3.140173913,2.946692308,3.999615385
87,7.283421053,2.834076923,5.89472,3.127782609,2.941846154,3.9935
88,7.353315789,2.8365,5.81464,3.128636364,2.921923077,3.995653846
89,7.365277778,2.870038462,5.789153846,3.153608696,2.921,3.998038462
90,7.3592,2.83212,5.814615385,3.1275,2.924615385,3.984730769
91,7.3763,2.79792,5.821192308,3.169958333,2.917769231,3.990115385
92,7.395318182,2.79848,5.804846154,3.1885,2.915538462,3.988
93,7.4165,2.79848,5.787884615,3.20448,2.939307692,3.988230769
94,7.392958333,2.782333333,5.772384615,3.092958333,2.955384615,4.004615385
95,7.386041667,2.770791667,5.746961538,3.080583333,2.978269231,3.991230769
96,7.344,2.85924,5.721,3.050708333,2.961615385,3.992730769
97,7.389423077,2.839423077,5.696653846,3.030041667,2.926884615,3.996307692
98,7.372423077,2.821923077,5.681653846,3.0425,2.916461538,4.005230769
99,7.347038462,2.812923077,5.671961538,3.02016,2.911346154,4.016538462
100,7.349730769,2.799615385,5.641153846,2.99656,2.878615385,4.023230769
101,7.346076923,2.795076923,5.63156,3.050230769,2.883153846,4.032
102,7.398769231,2.788192308,5.649615385,3.0515,2.871884615,4.041153846
103,7.397769231,2.784692308,5.6305,3.058653846,2.877653846,4.0525
104,7.382615385,2.786730769,5.624576923,3.071576923,2.906423077,4.061038462
105,7.383,2.794,5.611307692,3.0855,2.962461538,4.084076923
106,7.40224,2.795846154,5.6035,3.084730769,3.137115385,4.090076923
107,7.4366,2.855615385,5.587807692,3.082,3.209615385,4.101769231
108,7.487913043,2.871269231,5.606423077,3.088692308,3.32684,4.127192308
109,7.490625,2.882,5.603307692,3.076615385,3.364192308,4.136
110,7.506083333,2.918615385,5.604115385,3.074615385,3.477038462,4.135730769
111,7.48504,2.910538462,5.589461538,3.048076923,3.516923077,4.148807692
112,7.52388,2.896230769,5.569653846,3.049692308,3.538576923,4.155884615
113,7.523,2.855576923,5.565076923,3.053,3.619307692,4.177461538
114,7.56856,2.862538462,5.555153846,3.065769231,3.787730769,4.186961538
115,7.5446,2.862461538,5.556230769,3.088653846,3.898769231,4.203346154
116,7.56828,2.874961538,5.543961538,3.091230769,4.045307692,4.216730769
117,7.5634,2.873153846,5.548730769,3.088384615,4.092423077,4.223192308
118,7.57064,2.908307692,5.558538462,3.090076923,4.2906,4.232961538
119,7.636,2.892884615,5.566153846,3.093461538,4.359,4.2475
120,7.64236,2.901307692,5.561230769,3.099346154,4.507,4.249769231
121,7.640153846,2.916153846,5.568153846,3.086807692,4.626833333,4.277115385
122,7.687346154,2.914923077,5.574230769,3.095269231,4.6588,4.295346154
123,7.714538462,2.938730769,5.582192308,3.089230769,4.81092,4.301576923
124,7.74104,2.928615385,5.598423077,3.097346154,5.00064,4.322884615
125,7.75316,2.963615385,5.615538462,3.111576923,5.27168,4.340692308
126,7.753423077,2.966307692,5.626115385,3.125076923,5.42076,4.363846154
127,7.779615385,2.974307692,5.6525,3.139884615,5.638625,4.365807692
128,7.836307692,2.999807692,5.679576923,3.151538462,5.784625,4.385884615
129,7.868307692,3.070923077,5.708076923,3.158730769,5.913125,4.410769231
130,7.888076923,3.151230769,5.730923077,3.176884615,5.988916667,4.421076923
131,7.901538462,3.238,5.763307692,3.186076923,6.26875,4.457730769
132,7.953038462,3.290230769,5.816884615,3.192346154,6.420791667,4.474230769
133,8.010692308,3.386423077,5.851769231,3.217846154,6.72972,4.510961538
134,8.091269231,3.491923077,5.901692308,3.240807692,6.95692,4.536846154
135,8.163576923,3.528153846,5.940384615,3.330076923,7.309384615,4.579346154
136,8.224576923,3.625730769,5.9795,3.397769231,7.502153846,4.621307692
137,8.353230769,3.72656,6.023576923,3.470115385,8.161730769,4.654269231
138,8.452807692,3.86144,6.052461538,3.628384615,8.565846154,4.689230769
139,8.695269231,3.97172,6.073076923,3.833384615,8.643115385,4.720653846
140,8.908153846,4.05212,6.114192308,3.950576923,8.702153846,4.768192308
141,9.125769231,4.373153846,6.190961538,4.075269231,8.981230769,4.837576923
142,9.239038462,4.496653846,6.280076923,4.249384615,8.948153846,4.884576923
143,9.4645,4.579153846,6.364115385,4.415884615,8.946653846,4.953461538
144,9.4915,4.728269231,6.441153846,4.521576923,8.8545,5.001846154
145,9.520384615,5.076692308,6.565846154,4.692384615,8.931923077,5.070961538
146,9.676423077,5.2695,6.898461538,4.706,8.88124,5.115653846
147,9.694307692,5.473923077,7.180961538,4.778346154,8.8418,5.116615385
148,9.767576923,5.702730769,7.525769231,4.876038462,8.859583333,5.121346154
149,9.873576923,6.080423077,7.926230769,4.899,8.75704,5.144153846
150,9.949615385,6.5525,8.362346154,4.987384615,8.7154,5.141230769
151,10.14176,6.813807692,8.590423077,5.004846154,8.69648,5.1315
152,10.19469231,7.087076923,8.895346154,5.091769231,8.66532,5.127615385
153,10.27965385,7.314269231,9.241076923,5.091730769,8.59112,5.138692308
154,10.32323077,7.673269231,9.807038462,5.204269231,8.548846154,5.133153846
155,10.34326923,7.895423077,10.18665385,5.204230769,8.518423077,5.165153846
156,10.38396154,7.8885,10.33069231,5.204538462,8.473769231,5.170846154
157,10.4595,8.082153846,10.50680769,5.177730769,8.336961538,5.152307692
158,10.46938462,8.093230769,10.61346154,5.161884615,8.265846154,5.139307692
159,10.44896154,8.042730769,10.77946154,5.163115385,8.253307692,5.113692308
160,10.44488462,7.963653846,10.79623077,5.127884615,8.204846154,5.102769231
161,10.49723077,7.885115385,10.88253846,5.095807692,8.187846154,5.082153846
162,10.49673077,7.873346154,10.92196154,5.0965,8.107115385,5.061692308
163,10.57411538,7.831346154,10.98430769,5.101192308,8.034538462,5.034307692
164,10.65265385,7.785923077,11.03761538,5.074230769,8.043307692,5.004153846
165,10.73838462,7.676769231,11.04146154,5.086653846,7.977846154,4.984653846
