day_number,Ob,Yenisey,Lena,Kolyma,Yukon,Mackenzie
119,0.535257969,0.880017231,0.19726848,0.0239328,0.150308352,0.373822892
120,0.5606064,0.896732308,0.196777728,0.024561792,0.16041024,0.384805662
121,0.592587692,0.960701538,0.197244288,0.024651648,0.171773568,0.396968123
122,0.624748431,0.972132923,0.198395136,0.024530688,0.185995008,0.409157169
123,0.657630277,1.019088,0.199628928,0.024257664,0.205279488,0.423888369
124,0.694533046,0.986521846,0.201235968,0.024323328,0.232367616,0.4414176
125,0.729335631,1.022643692,0.202594176,0.023992615,0.2673216,0.460794462
126,0.7695648,1.096914462,0.204066432,0.024408,0.301228416,0.482540677
127,0.812479015,1.151313231,0.207055872,0.024487754,0.34475328,0.510049108
128,0.862235446,1.203352615,0.210370176,0.025162338,0.393645312,0.5450112
129,0.923619323,1.262004923,0.214216704,0.025198892,0.446836608,0.597352985
130,0.991579569,1.338302769,0.21788352,0.025783754,0.494961408,0.655569969
131,1.064009354,1.428657231,0.221584896,0.025939938,0.552524544,0.746745231
132,1.141616492,1.534995692,0.2268,0.027850708,0.630070272,0.817865723
133,1.238474215,1.675163077,0.233300736,0.029661785,0.695716992,0.898204431
134,1.323109662,1.821843692,0.242034048,0.032190646,0.768382848,0.989911385
135,1.415574277,1.941673846,0.257772672,0.034719508,0.838487808,1.101028431
136,1.509108923,2.070875077,0.310857231,0.0378,0.911834496,1.216282708
137,1.618052677,2.158039385,0.351667938,0.041495262,0.977056128,1.332168369
138,1.742641477,2.329809231,0.405917169,0.046187446,1.02292416,1.447671877
139,1.844875938,2.528462769,0.507736246,0.052105846,1.056475008,1.557765415
140,1.995570831,2.811788308,0.599639262,0.061201108,1.09396224,1.649037046
141,2.112327138,3.136951385,0.711072,0.071808369,1.12919616,1.715465354
142,2.223504,3.458425846,0.870207508,0.104404431,1.197942912,1.756624985
143,2.346015877,3.916246154,1.1273904,0.185839754,1.26391104,1.782478523
144,2.4495264,4.340935385,1.476373292,0.286645292,1.34277696,1.839568985
145,2.528605662,4.734387692,2.010421662,0.411406892,1.379293056,1.889478144
146,2.598041354,5.216233846,2.760812308,0.523956185,1.404528768,1.943678592
147,2.637253662,5.772184615,3.668756677,0.699707077,1.433984256,1.963934208
148,2.684823508,6.209833846,4.729808492,0.879056862,1.43261568,1.973303424
149,2.716083692,6.631532308,5.400242585,1.117866462,1.426557312,1.998874368
150,2.765172185,7.072504615,6.571593969,1.239836677,1.427334912,1.99354176
151,2.8035504,7.567975385,7.303943631,1.339701785,1.4413248,1.9650816
152,2.834797292,7.780652308,8.1228096,1.412088369,1.45727424,1.913694336
153,2.850053538,8.190055385,8.579456862,1.460402585,1.491236352,1.86008832
154,2.859680492,8.204012308,8.787640985,1.477599508,1.504341504,1.826399232
155,2.867489723,8.325636923,8.631080862,1.512196062,1.51110144,1.785953664
156,2.863704738,8.140541538,8.515793354,1.531307077,1.51089408,1.739843712
157,2.858314708,8.1,8.36784,1.523039262,1.50239232,1.698793344
158,2.863202954,7.991335385,8.015261538,1.502034092,1.49250816,1.692095616
159,2.866389785,7.883335385,7.496163692,1.504134277,1.487621376,1.682522496
160,2.870546954,7.656036923,7.182199385,1.477360246,1.481746176,1.683493632
161,2.860501292,7.483236923,6.877107692,1.435542646,1.474702848,1.689628032
162,2.857131692,7.276541538,6.574375385,1.399032,1.470192768,1.695769344
163,2.846075815,7.0848,6.395261538,1.354668923,1.464518016,1.697963904
164,2.837359385,6.919643077,6.196308923,1.322857108,1.453275648,1.70385984
165,2.822967138,6.705304615,6.03504,1.283820923,1.440343296,1.713343104
166,2.813868554,6.422843077,5.893443692,1.246187077,1.426450176,1.731860352
167,2.803816246,6.152344615,5.767964308,1.213388308,1.414907136,1.745622144
168,2.798030769,5.898461538,5.694391385,1.184205046,1.404822528,1.74636864
169,2.79504,5.606695385,5.601777231,1.161558277,1.393369344,1.7395776
170,2.789390769,5.362449231,5.514114462,1.1338704,1.379279232,1.726624512
171,2.763138462,4.985612308,5.438514462,1.109691692,1.368320256,1.686272123
172,2.766461538,4.758646154,5.352912,1.077783508,1.358335872,1.681071508
173,2.762806154,4.447938462,5.254715077,1.042871262,1.346882688,1.681327385
174,2.752172308,4.234929231,5.178384,1.021590277,1.334071296,1.673990031
175,2.737550769,4.121612308,5.100457846,1.027312615,1.321156224,1.667370462
176,2.739212308,3.878030769,5.031902769,0.996959631,1.308230784,1.665519508
177,2.732898462,3.668676923,4.929402462,0.956471262,1.294434432,1.662040246
178,2.722596923,3.460984615,4.835176615,0.919628308,1.277693568,1.652619323
179,2.71296,3.307790769,4.735102154,0.902979692,1.261263744,1.638821908
180,2.699003077,3.142301538,4.635858462,0.883759015,1.245988224,1.621488738
181,2.692689231,2.993095385,4.517955692,0.865282708,1.23140736,1.607468677
182,2.681723077,2.836910769,4.397460923,0.846105231,1.21428288,1.597781908
183,2.676073846,2.715950769,4.294212923,0.833627077,1.198623744,1.594096615
184,2.662781538,2.604627692,4.175645538,0.819862892,1.183545216,1.590534277
185,2.650486154,2.5056,4.059005538,0.793314831,1.170637056,1.584031015
186,2.635864615,2.395273846,3.967554462,0.776961969,1.160649216,1.575145108
187,2.621575385,2.311864615,3.894313846,0.759090462,1.151843328,1.570629046
188,2.613267692,2.254375385,3.790633846,0.737756308,1.14205248,1.571822031
189,2.598313846,2.211175385,3.711710769,0.716611569,1.131781248,1.572712615
190,2.588676923,2.148701538,3.624413538,0.6929712,1.1212128,1.569010708
191,2.580369231,2.103175385,3.547517538,0.676322585,1.112113152,1.556834954
192,2.569070769,2.058978462,3.476004923,0.659644062,1.103504256,1.546390523
193,2.559101538,2.031064615,3.409942154,0.646594338,1.095088896,1.534879385
194,2.550461538,1.993181538,3.336219692,0.636007015,1.085301504,1.521723323
195,2.532516923,1.958953846,3.267844062,0.613865354,1.07609472,1.5075072
196,2.518227692,1.937021538,3.188837908,0.599283692,1.069352064,1.493158154
197,2.507593846,1.922067692,3.120794585,0.582618462,1.061610624,1.476310154
198,2.495298462,1.898141538,3.066621785,0.567438646,1.056824064,1.458295754
199,2.474363077,1.874215385,3.015074215,0.552584492,1.053983232,1.436725662
200,2.458744615,1.845304615,2.973595569,0.532008,1.048508928,1.419741415
201,2.447446154,1.825366154,2.949659446,0.516984369,1.044099072,1.400786585
202,2.433156923,1.806092308,2.928255508,0.503771815,1.039986432,1.387055631
203,2.417206154,1.78416,2.909968615,0.495577108,1.035196416,1.376003077
204,2.395938462,1.76256,2.896360615,0.484434831,1.030987008,1.362783877
205,2.379655385,1.743618462,2.894865231,0.482853046,1.025799552,1.3449456
206,2.370350769,1.733649231,2.900248615,0.477047631,1.021980672,1.330111385
207,2.3544,1.717366154,2.878116923,0.468823015,1.016312832,1.316576492
208,2.344430769,1.696763077,2.847478154,0.463958031,1.012493952,1.302612923
209,2.329144615,1.675163077,2.811356308,0.4682448,1.007299584,1.289895508
210,2.316849231,1.65888,2.782478769,0.474060185,1.001925504,1.280092431
211,2.296744615,1.633624615,2.742635077,0.472598031,0.996247296,1.2749184
212,2.27664,1.627975385,2.720004923,0.469939569,0.992037888,1.2743136
213,2.262018462,1.621329231,2.700332308,0.474093415,0.988028928,1.272735138
214,2.247729231,1.646916923,2.673747692,0.468148431,0.983726208,1.274469785
215,2.230449231,1.691113846,2.677070769,0.467088369,0.980187264,1.274134154
216,2.207885538,1.669513846,2.671421538,0.467978954,0.977249664,1.2724128
217,2.189243077,1.616676923,2.678067692,0.468231508,0.974028672,1.261881969
218,2.161129846,1.583113846,2.694350769,0.474016985,0.972470016,1.243475446
219,2.138233846,1.573476923,2.710633846,0.475322954,0.973147392,1.224118523
220,2.0794752,1.55088,2.728412308,0.4713552,0.974115072,1.2020832
221,2.04674688,1.536258462,2.739212308,0.478533046,0.974719872,1.189721354
222,2.02490496,1.534264615,2.739544615,0.480493662,0.976478976,1.185162092
223,1.99915776,1.534264615,2.729907692,0.481444062,0.977743872,1.176289477
224,1.97002368,1.541907692,2.706313846,0.480709662,0.977940864,1.165246892
225,1.94272128,1.556861538,2.659126154,0.483218585,0.978438528,1.157424369
226,1.91472768,1.561181538,2.625895385,0.483128862,0.980982144,1.1482128
227,1.87992576,1.558523077,2.60064,0.490203692,0.984006144,1.1419056
228,1.8413568,1.53792,2.566412308,0.4920912,0.984396672,1.136359385
229,1.81049472,1.540910769,2.551458462,0.496255015,0.984306816,1.134664615
230,1.78360704,1.550215385,2.538830769,0.498547938,0.982838016,1.134505108
231,1.75751424,1.546227692,2.513907692,0.496617231,0.980301312,1.137828185
