ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
1387439	95.475	61.825	NA	NA	144.217733	NA	NA	NA
1387440	95.525	61.825	NA	NA	144.208023	NA	NA	NA
1387441	95.575	61.825	NA	NA	146.606327	NA	NA	NA
1387445	95.775	61.825	NA	NA	143.993936	NA	NA	NA
1387446	95.825	61.825	NA	NA	143.960163	NA	NA	NA
1387447	95.875	61.825	NA	NA	143.955976	NA	NA	NA
1393279	61.475	61.775	NA	NA	138.20439	NA	NA	NA
1393280	61.525	61.775	NA	NA	138.248446	NA	NA	NA
1393400	67.525	61.775	125.08817	123.153259	139.154849	14.066679	16.00159	NA
1393839	89.475	61.775	NA	NA	130.211087	NA	NA	NA
1393840	89.525	61.775	130.705179	122.622483	138.137921	7.432742	15.515438	NA
1393841	89.575	61.775	135.635758	123.293855	138.128111	2.492354	14.834257	NA
1393842	89.625	61.775	134.274755	123.127171	138.123016	3.848261	14.995844	NA
1393843	89.675	61.775	136.281193	123.355057	138.115042	1.833849	14.759985	NA
1393844	89.725	61.775	135.938568	123.80581	135.015468	-0.9231	11.209659	NA
1393909	92.975	61.775	NA	NA	145.301713	NA	NA	NA
1393910	93.025	61.775	NA	NA	145.287874	NA	NA	NA
1393911	93.075	61.775	NA	NA	145.284346	NA	NA	NA
1393912	93.125	61.775	NA	NA	145.27802	NA	NA	NA
1393913	93.175	61.775	NA	NA	145.272807	NA	NA	NA
1393920	93.525	61.775	NA	NA	145.188734	NA	NA	NA
1393921	93.575	61.775	NA	NA	145.177112	NA	NA	NA
1393922	93.625	61.775	NA	NA	145.169464	NA	NA	NA
1393923	93.675	61.775	NA	NA	145.165016	NA	NA	NA
1393939	94.475	61.775	NA	NA	149.38532	NA	NA	NA
1393940	94.525	61.775	NA	NA	151.078887	NA	NA	NA
1393967	95.875	61.775	NA	NA	143.948677	NA	NA	NA
1393968	95.925	61.775	NA	NA	146.671524	NA	NA	NA
1399800	61.525	61.725	NA	NA	138.159351	NA	NA	NA
1399801	61.575	61.725	NA	NA	138.116957	NA	NA	NA
1399802	61.625	61.725	NA	NA	138.137255	NA	NA	NA
1399803	61.675	61.725	NA	NA	138.130793	NA	NA	NA
1399920	67.525	61.725	125.363336	122.946339	142.868623	17.505287	19.922284	NA
1400364	89.725	61.725	136.123875	123.448057	138.118018	1.994143	14.669961	NA
1400365	89.775	61.725	132.01244	123.014371	138.10239	6.08995	15.08802	NA
1400382	90.625	61.725	125.300302	123.806174	146.61138	21.311079	22.805206	NA
1400383	90.675	61.725	125.467714	123.601931	146.591259	21.123545	22.989328	NA
1400384	90.725	61.725	129.853751	123.935513	146.577665	16.723914	22.642152	NA
1400487	95.875	61.725	NA	NA	143.93178	NA	NA	NA
1400488	95.925	61.725	NA	NA	143.91611	NA	NA	NA
1400489	95.975	61.725	NA	NA	147.546452	NA	NA	NA
1406323	61.675	61.675	NA	NA	138.113503	NA	NA	NA
1406324	61.725	61.675	NA	NA	138.079549	NA	NA	NA
1406325	61.775	61.675	NA	NA	138.091842	NA	NA	NA
1406440	67.525	61.675	124.822863	122.987517	138.964596	14.141733	15.977079	NA
1406441	67.575	61.675	124.629258	123.206309	142.86061	18.231352	19.654302	NA
