ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID
1008680	65.525	64.725	124.804796	122.771525	144.751273	19.946477	21.979748	NA
1009122	87.625	64.725	NA	NA	144.076527	NA	NA	NA
1009123	87.675	64.725	136.834503	124.201755	140.381716	3.547212	16.179961	NA
1009124	87.725	64.725	137.38017	124.126829	140.410929	3.03076	16.284101	NA
1015194	65.225	64.675	125.294501	123.424764	149.830147	24.535646	26.405383	NA
1015195	65.275	64.675	NA	NA	149.41827	NA	NA	NA
1015200	65.525	64.675	124.736818	122.862982	144.736455	19.999637	21.873474	NA
1015201	65.575	64.675	125.131158	123.277401	144.718659	19.587501	21.441258	NA
1015202	65.625	64.675	125.655254	123.576054	144.712908	19.057654	21.136854	NA
1015203	65.675	64.675	126.17368	123.712333	144.70981	18.53613	20.997477	NA
1015641	87.575	64.675	135.562597	123.95488	140.357407	4.79481	16.402527	NA
1015642	87.625	64.675	136.921823	124.144157	140.361667	3.439845	16.21751	NA
1021714	65.225	64.625	124.982348	123.375415	149.598577	24.616229	26.223162	NA
1021715	65.275	64.625	124.599721	123.353947	146.394391	21.794669	23.040444	NA
1021723	65.675	64.625	126.17368	123.712333	148.249102	22.075422	24.53677	NA
1021724	65.725	64.625	125.153361	123.080196	144.691968	19.538607	21.611772	NA
1021725	65.775	64.625	125.805296	123.373515	144.683095	18.8778	21.30958	NA
1022160	87.525	64.625	135.601033	123.888668	145.240793	9.63976	21.352126	NA
1022161	87.575	64.625	135.775417	123.810218	140.3423	4.566884	16.532082	NA
1028235	65.275	64.575	124.496293	122.967681	147.679592	23.183299	24.711911	NA
1028236	65.325	64.575	124.401564	122.924601	147.995931	23.594367	25.07133	NA
1028237	65.375	64.575	124.570569	123.029706	149.553689	24.983119	26.523983	NA
1028243	65.675	64.575	125.954137	123.378131	144.646464	18.692328	21.268334	NA
1028244	65.725	64.575	126.210643	123.418915	144.656513	18.44587	21.237598	NA
1028245	65.775	64.575	NA	NA	144.6733	NA	NA	NA
1028680	87.525	64.575	135.473788	123.634674	147.473992	12.000204	23.839318	NA
1034757	65.375	64.525	NA	NA	148.254799	NA	NA	NA
1034758	65.425	64.525	124.528418	122.670522	150.010072	25.481654	27.33955	NA
1034763	65.675	64.525	125.075185	122.889709	144.630374	19.555189	21.740664	NA
1034764	65.725	64.525	125.406225	123.017959	144.611286	19.205061	21.593327	NA
1034765	65.775	64.525	125.080635	122.918964	144.603032	19.522397	21.684068	NA
1035199	87.475	64.525	135.682813	124.244447	146.344208	10.661395	22.099761	NA
