ID	lon	lat	DOC	POC	discharge	QlagDOC	QlagPOC	FID_1
331793	125.175	69.925	133.512805	153.205814	156.692832	23.180027	3.487018	NA
331794	125.225	69.925	133.41765	152.90649	156.700649	23.282999	3.794159	NA
331795	125.275	69.925	133.567429	153.486565	156.727333	23.159904	3.240767	NA
331796	125.325	69.925	133.26405	153.145957	156.73781	23.47376	3.591853	NA
331797	125.375	69.925	131.774203	150.481765	156.753215	24.979012	6.27145	NA
331798	125.425	69.925	128.820983	146.443491	148.584073	19.763089	2.140581	NA
331799	125.475	69.925	125.262099	142.358285	148.657453	23.395353	6.299168	NA
331800	125.525	69.925	127.211211	142.69698	148.864923	21.653713	6.167943	NA
331801	125.575	69.925	132.305125	150.679738	149.452938	17.147813	-1.2268	NA
338311	125.075	69.875	133.211837	152.200017	156.665955	23.454118	4.465938	NA
338312	125.125	69.875	133.509414	152.742323	156.686939	23.177526	3.944616	NA
344831	125.075	69.825	133.061625	151.412996	156.665371	23.603747	5.252375	NA
350548	84.925	69.775	137.233514	123.651633	148.510374	11.27686	24.858741	NA
350549	84.975	69.775	136.994407	123.757315	148.499596	11.505189	24.742281	NA
350550	85.025	69.775	136.905835	123.6813	148.496695	11.590861	24.815396	NA
350551	85.075	69.775	136.309477	123.327628	148.492611	12.183134	25.164983	NA
350552	85.125	69.775	136.971249	123.774886	148.488589	11.51734	24.713703	NA
350553	85.175	69.775	137.186079	123.683487	148.484004	11.297925	24.800516	NA
350554	85.225	69.775	136.912604	123.304255	148.447915	11.535311	25.14366	NA
350555	85.275	69.775	136.594603	123.502267	148.443702	11.849099	24.941435	NA
350556	85.325	69.775	136.465882	123.464443	148.436207	11.970325	24.971763	NA
350557	85.375	69.775	136.595518	123.694635	148.433306	11.837788	24.738671	NA
350558	85.425	69.775	135.172813	124.026818	148.426365	13.253552	24.399547	NA
350559	85.475	69.775	133.494109	124.098888	148.422526	14.928416	24.323637	NA
350560	85.525	69.775	135.507088	123.701474	148.419827	12.912739	24.718353	NA
351351	125.075	69.775	132.921435	151.108629	156.647488	23.726053	5.538858	NA
357064	84.725	69.725	NA	NA	148.540958	NA	NA	NA
357065	84.775	69.725	137.530503	123.301056	148.522785	10.992282	25.221728	NA
357066	84.825	69.725	137.636306	123.520785	148.519437	10.883132	24.998652	NA
357067	84.875	69.725	137.564377	123.275582	148.514388	10.950011	25.238806	NA
357068	84.925	69.725	137.233514	123.651633	163.40536	26.171846	39.753726	NA
357080	85.525	69.725	135.507088	123.701474	148.417747	12.910659	24.716273	NA
357081	85.575	69.725	136.651123	123.675883	148.410967	11.759844	24.735084	NA
357082	85.625	69.725	136.551039	123.824238	148.406835	11.855796	24.582597	NA
357870	125.025	69.725	130.990635	147.366281	156.600282	25.609647	9.234001	NA
357871	125.075	69.725	133.06537	150.986913	156.620263	23.554894	5.633351	NA
363581	84.575	69.675	135.739447	124.035927	148.554271	12.814824	24.518344	NA
363582	84.625	69.675	136.942326	123.421189	148.547462	11.605135	25.126273	NA
363583	84.675	69.675	137.539297	123.098724	148.545854	11.006557	25.44713	NA
363584	84.725	69.675	137.593933	122.695126	162.605541	25.011608	39.910415	NA
363602	85.625	69.675	NA	NA	162.989076	NA	NA	NA
363603	85.675	69.675	134.819477	123.806826	148.404363	13.584887	24.597537	NA
363604	85.725	69.675	134.370076	123.939668	148.397112	14.027037	24.457444	NA
364389	124.975	69.675	132.833842	151.300684	156.565862	23.73202	5.265178	NA
364390	125.025	69.675	132.771883	150.557255	156.590007	23.818124	6.032751	NA
370101	84.575	69.625	135.546787	123.998932	163.738937	28.19215	39.740004	NA
370124	85.725	69.625	135.089649	123.915408	148.395206	13.305557	24.479798	NA
370125	85.775	69.625	137.126506	123.477468	148.380113	11.253607	24.902645	NA
370908	124.925	69.625	132.743075	150.669622	156.560338	23.817263	5.890716	NA
370909	124.975	69.625	132.821809	151.763399	145.953746	13.131937	-5.809653	NA
376645	85.775	69.575	137.511448	123.819894	148.367822	10.856374	24.547927	NA
376646	85.825	69.575	137.160861	124.148477	148.377447	11.216586	24.22897	NA
377427	124.875	69.575	129.198451	146.528314	156.606367	27.407916	10.078053	NA
377428	124.925	69.575	133.713595	152.703341	156.6206	22.907005	3.917259	NA
383166	85.825	69.525	134.291795	124.035538	148.364259	14.072464	24.328721	NA
383167	85.875	69.525	134.499294	124.150162	148.351462	13.852168	24.2013	NA
383168	85.925	69.525	134.891649	123.8482	148.343305	13.451656	24.495104	NA
383946	124.825	69.525	132.221463	151.314841	156.603262	24.381799	5.288421	NA
383947	124.875	69.525	130.357295	149.216932	147.709345	17.35205	-1.507586	NA
389688	85.925	69.475	135.475573	123.766416	161.694169	26.218595	37.927753	NA
389689	85.975	69.475	135.35534	123.762914	148.341159	12.985819	24.578244	NA
389690	86.025	69.475	134.931571	123.781807	148.333783	13.402212	24.551976	NA
389691	86.075	69.475	134.240078	124.521298	148.329443	14.089365	23.808145	NA
