ID	lon	lat	centroid_day
586707	156.875	67.975	127.737525083086
586708	156.925	67.975	127.542829065895
586709	156.975	67.975	127.474498716978
586710	157.025	67.975	128.611745314607
587401	-134.425	67.925	124.179002001114
587402	-134.375	67.925	124.038266057685
591818	86.425	67.925	133.991247522919
591819	86.475	67.925	133.543885810256
591820	86.525	67.925	132.58289951719
591981	94.575	67.925	131.2120337118
591982	94.625	67.925	131.510206430681
592552	123.125	67.925	128.937296546738
593213	156.175	67.925	127.642579405426
593214	156.225	67.925	127.462950548222
593222	156.625	67.925	127.267977114113
593223	156.675	67.925	127.624536410256
593224	156.725	67.925	126.982152911703
593225	156.775	67.925	127.722924797279
593226	156.825	67.925	127.526621823301
593923	-134.325	67.875	123.975968957257
593924	-134.275	67.875	124.015105878861
598340	86.525	67.875	133.054918586706
598341	86.575	67.875	135.539253019825
598450	92.025	67.875	129.853025813803
598502	94.625	67.875	131.352881460651
599072	123.125	67.875	130.357842262447
599733	156.175	67.875	127.889510905158
600445	-134.225	67.825	124.192650052647
604858	86.425	67.825	136.341120676273
604859	86.475	67.825	135.999604735467
604860	86.525	67.825	134.504031285249
604861	86.575	67.825	136.669846725004
604968	91.925	67.825	132.03338772504
605023	94.675	67.825	131.145720961081
605592	123.125	67.825	128.769031693979
606254	156.225	67.825	130.279686821449
606965	-134.225	67.775	124.106167770741
611377	86.375	67.775	136.76804141709
611487	91.875	67.775	129.758830778552
611544	94.725	67.775	131.0141189233
611545	94.775	67.775	130.938525037428
612112	123.125	67.775	127.965536875231
613485	-134.225	67.725	124.046711529799
613486	-134.175	67.725	124.069011600855
617896	86.325	67.725	136.991353685818
617897	86.375	67.725	137.318107878322
618006	91.825	67.725	130.533823621487
618065	94.775	67.725	130.938525037428
618066	94.825	67.725	131.582559667996
618067	94.875	67.725	132.985298184567
618632	123.125	67.725	128.627159004068
620006	-134.175	67.675	124.565844704114
620007	-134.125	67.675	126.834033494302
624415	86.275	67.675	137.045180191239
625151	123.075	67.675	131.261601259632
625152	123.125	67.675	128.450660667992
625814	156.225	67.675	127.677618453609
626527	-134.125	67.625	125.290576889581
626528	-134.075	67.625	125.31015310941
630935	86.275	67.625	137.032364727093
631042	91.625	67.625	131.261439889287
631043	91.675	67.625	131.262213669101
631044	91.725	67.625	131.065515799432
631109	94.975	67.625	132.223640177076
631671	123.075	67.625	132.243115202377
632311	155.075	67.625	127.748622812769
632312	155.125	67.625	127.606192999514
632313	155.175	67.625	127.853243329381
632314	155.225	67.625	127.924004445992
632315	155.275	67.625	127.930084765457
632316	155.325	67.625	127.687306544583
632317	155.375	67.625	127.701484230849
632318	155.425	67.625	127.74902991808
632319	155.475	67.625	127.388168579715
632320	155.525	67.625	127.093007643812
632321	155.575	67.625	129.069532989105
632322	155.625	67.625	131.544818292245
632328	155.925	67.625	130.553785922813
632329	155.975	67.625	127.306809030331
632330	156.025	67.625	128.797644929299
632331	156.075	67.625	130.443968072704
632332	156.125	67.625	130.047687839021
632333	156.175	67.625	127.668515113405
632334	156.225	67.625	127.14042986918
633048	-134.075	67.575	124.21947577236
633049	-134.025	67.575	124.690303108388
633050	-133.975	67.575	124.316203245563
633051	-133.925	67.575	125.540060542296
637455	86.275	67.575	137.403405425297
637456	86.325	67.575	134.478566274874
637561	91.575	67.575	131.566948020956
638190	123.025	67.575	133.623076027017
638191	123.075	67.575	133.621120345055
638827	154.875	67.575	128.074052178939
638828	154.925	67.575	131.155709064336
638829	154.975	67.575	128.773108990317
639572	-133.875	67.525	124.84283757152
639573	-133.825	67.525	125.76570109397
643976	86.325	67.525	135.286600957685
643977	86.375	67.525	137.147632067735
644710	123.025	67.525	133.606410637476
645330	154.025	67.525	128.014682242885
645331	154.075	67.525	128.006620758903
645332	154.125	67.525	127.746597494199
645333	154.175	67.525	127.569465817407
645334	154.225	67.525	127.431211298559
645335	154.275	67.525	128.088618665215
645336	154.325	67.525	127.77580764642
645337	154.375	67.525	127.828495184915
645338	154.425	67.525	127.617207960472
645339	154.475	67.525	127.121212346535
645340	154.525	67.525	127.47713990722
645341	154.575	67.525	127.726469990914
645342	154.625	67.525	127.486142826122
645343	154.675	67.525	128.017345819563
645344	154.725	67.525	129.469823637241
646093	-133.825	67.475	124.42018780489
646094	-133.775	67.475	124.55945574337
646095	-133.725	67.475	125.598420856992
646096	-133.675	67.475	126.241187112173
646097	-133.625	67.475	124.359411038109
646098	-133.575	67.475	125.06284359598
646138	-131.575	67.475	126.036851796647
646139	-131.525	67.475	125.55711746598
646140	-131.475	67.475	124.118697151009
646141	-131.425	67.475	124.418118075271
646142	-131.375	67.475	124.086146449391
646143	-131.325	67.475	124.50589302304
646144	-131.275	67.475	124.863218960819
646145	-131.225	67.475	124.717677983256
646146	-131.175	67.475	125.379510563148
646147	-131.125	67.475	125.732259974088
646148	-131.075	67.475	125.053447670431
646149	-131.025	67.475	124.488998262334
646150	-130.975	67.475	124.696413086022
646151	-130.925	67.475	124.383535712663
650497	86.375	67.475	136.704478391139
650498	86.425	67.475	137.524460550931
650590	91.025	67.475	130.815078530085
650591	91.075	67.475	130.112920915388
651230	123.025	67.475	132.958134744613
651231	123.075	67.475	131.961830623868
651847	153.875	67.475	127.623112778608
651848	153.925	67.475	128.057960609009
651849	153.975	67.475	129.493337639083
651850	154.025	67.475	130.386233796546
652619	-133.525	67.425	124.54429217603
652655	-131.725	67.425	124.071763492536
652656	-131.675	67.425	124.068674851843
